Filial,Documento,Nome_Cliente,Nome_Vendedor,Produtos,Quantidade,Preco_Unitario,Total,Estado_Cliente,Data_Compra,Data_Devolucao,Status
São Paulo,7477,Tecnologias Ondas Futuras Ltda,Paulo,PlayStation 4,29,1399,40571, Roraima (RR) ,2020-06-12,2020-07-06,Com Devolução
Parana,3343,Soluções Núcleo Quântico Ltda,Vanessa,PlayStation 1,26,199,5174, Distrito Federal (DF) ,2021-07-27,,Sem Devolução
São Paulo,4573,VisionáriaTech S.A,Paulo,PlayStation 1,15,199,2985, Mato Grosso (MT) ,2022-09-06,2022-10-01,Com Devolução
Parana,7991,InovarHub S.A,João,PlayStation 1,40,199,7960, Rio Grande do Sul (RS) ,2020-09-05,,Sem Devolução
Rio de Janeiro,5008,Soluções Núcleo Quântico Ltda,Vanessa,PlayStation 1,37,199,7363, Amapá (AP) ,2023-07-07,,Sem Devolução
São Paulo,7273,Corporação TechVantage,Henrique,Nintendo Wii,16,1699,27184, Bahia (BA) ,2021-08-04,,Sem Devolução
São Paulo,3708,Sistemas Sinérgicos Ltda,Henrique,PlayStation 4,33,1399,46167, Amazonas (AM) ,2022-11-08,2022-11-25,Com Devolução
Parana,7503,Corporação NexusGen,Henrique,XBOX ONE S,11,1499,16489, Ceará (CE) ,2020-04-01,,Sem Devolução
Parana,9903,Inovação Esfera Quântica Ltda,Maria,XBOX ONE S,10,1499,14990, Pará (PA) ,2020-03-16,,Sem Devolução
São Paulo,4906,Soluções NovaTech S.A,Paulo,PlayStation 4,15,1399,20985, Rio de Janeiro (RJ) ,2024-12-03,,Sem Devolução
Rio de Janeiro,9274,Inovação Esfera Quântica Ltda,Vanessa,PlayStation 2,36,499,17964, São Paulo (SP) ,2020-01-22,,Sem Devolução
São Paulo,1174,Empresas Esfera de Sinergia Ltda,João,PlayStation 4,8,1399,11192, Bahia (BA) ,2022-06-18,,Sem Devolução
Parana,9833,Laboratórios InovateX Ltda,Henrique,XBOX 360,10,1299,12990, Tocantins (TO) ,2023-04-05,2023-05-01,Com Devolução
Rio de Janeiro,8479,Inovação QuantumLeap Ltda,Paulo,PlayStation 4,34,1399,47566, Sergipe (SE) ,2022-12-19,2023-01-10,Com Devolução
Rio de Janeiro,3326,InovarHub S.A,Paulo,PlayStation 1,29,199,5771, Santa Catarina (SC) ,2020-08-15,,Sem Devolução
São Paulo,6210,Empresa Visionária de Inovações S.A,Maria,XBOX ONE S,4,1499,5996, São Paulo (SP) ,2020-03-17,,Sem Devolução
Parana,9784,Soluções NovaTech S.A,Maria,PlayStation 2,20,499,9980, Piauí (PI) ,2024-08-19,2024-08-31,Com Devolução
Parana,3896,Corporação TechVantage,Taize,PlayStation 2,5,499,2495, Paraná (PR) ,2020-09-19,,Sem Devolução
São Paulo,8480,Soluções NovaTech S.A,Vanessa,PlayStation 1,30,199,5970, Rio Grande do Sul (RS) ,2023-12-14,,Sem Devolução
São Paulo,6464,Inovação QuantumLeap Ltda,Maria,PlayStation 1,23,199,4577, Mato Grosso do Sul (MS) ,2020-10-02,2020-10-21,Com Devolução
São Paulo,8707,Tecnologias Impulso Quântico Ltda,Vanessa,PlayStation 1,36,199,7164, Pernambuco (PE) ,2020-04-15,,Sem Devolução
São Paulo,9934,Soluções Núcleo Quântico Ltda,Maria,Nintendo Wii,28,1699,47572, Roraima (RR) ,2022-07-29,2022-07-30,Com Devolução
São Paulo,5560,Empresa Visionária de Inovações S.A,Henrique,Nintendo Wii,15,1699,25485, Paraná (PR) ,2020-02-16,,Sem Devolução
Rio de Janeiro,9363,Empresas Esfera de Sinergia Ltda,Henrique,Nintendo Wii,21,1699,35679, Roraima (RR) ,2022-01-12,,Sem Devolução
Rio de Janeiro,9691,Empreendimentos NovaGenius Ltda,Maria,Nintendo DS,4,389,1556, Pará (PA) ,2021-10-18,2021-11-06,Com Devolução
Rio de Janeiro,3046,Corporação NexusGen,João,PlayStation 4,5,1399,6995, Amazonas (AM) ,2024-03-31,,Sem Devolução
São Paulo,3896,Inovação Esfera Quântica Ltda,Vanessa,PlayStation 2,25,499,12475, São Paulo (SP) ,2024-10-12,2024-11-09,Com Devolução
São Paulo,4508,Empresas Esfera de Sinergia Ltda,Maria,Nintendo DS,25,389,9725, Mato Grosso (MT) ,2023-11-12,2023-11-27,Com Devolução
Parana,4535,Inovação QuantumLeap Ltda,Vanessa,XBOX 360,34,1299,44166, Tocantins (TO) ,2023-12-13,,Sem Devolução
São Paulo,9720,Soluções Núcleo Quântico Ltda,Maria,Game Boy,10,79,790, Rio Grande do Sul (RS) ,2020-09-10,,Sem Devolução
Parana,1968,Inovação Esfera Quântica Ltda,Paulo,XBOX ONE S,20,1499,29980, Ceará (CE) ,2022-08-09,,Sem Devolução
São Paulo,2954,Empreendimentos NexusTech Ltda,João,PlayStation 2,21,499,10479, Maranhão (MA) ,2024-07-01,2024-07-01,Com Devolução
São Paulo,7740,Corporação TechNex,Taize,Nintendo Wii,12,1699,20388, Distrito Federal (DF) ,2023-07-12,2023-07-17,Com Devolução
Parana,7607,Tecnologias Impulso Quântico Ltda,Henrique,PlayStation 1,33,199,6567, Ceará (CE) ,2021-03-11,2021-03-23,Com Devolução
Rio de Janeiro,9576,InovarHub S.A,Henrique,XBOX 360,11,1299,14289, Piauí (PI) ,2024-11-23,2024-12-07,Com Devolução
São Paulo,2954,Inovação Esfera Quântica Ltda,Vanessa,Game Boy,12,79,948, Santa Catarina (SC) ,2021-08-20,,Sem Devolução
São Paulo,1524,Sistemas Sinérgicos Ltda,Paulo,PlayStation 2,16,499,7984, Goiás (GO) ,2021-04-01,2021-04-10,Com Devolução
Parana,3761,Corporação TechVantage,Maria,XBOX 360,10,1299,12990, Acre (AC) ,2020-12-23,,Sem Devolução
Rio de Janeiro,9738,Empreendimentos NexusTech Ltda,Taize,XBOX ONE S,11,1499,16489, Pernambuco (PE) ,2020-08-18,,Sem Devolução
Parana,1237,Tecnologias Impulso Quântico Ltda,Henrique,PlayStation 4,29,1399,40571, Maranhão (MA) ,2023-07-02,,Sem Devolução
São Paulo,1876,Corporação TechNex,Henrique,PlayStation 4,37,1399,51763, Rondônia (RO) ,2020-08-05,2020-08-27,Com Devolução
Rio de Janeiro,6041,Laboratórios InovateX Ltda,Vanessa,XBOX ONE S,10,1499,14990, Minas Gerais (MG) ,2024-09-18,,Sem Devolução
Parana,9857,Corporação TechVantage,Vanessa,Nintendo Wii,39,1699,66261, Rio Grande do Norte (RN) ,2021-01-11,,Sem Devolução
São Paulo,2733,Soluções NovaTech S.A,Paulo,Game Boy,11,79,869, Espírito Santo (ES) ,2021-04-12,,Sem Devolução
São Paulo,5364,Empreendimentos NexusTech Ltda,Vanessa,Nintendo DS,30,389,11670, Pernambuco (PE) ,2022-11-21,,Sem Devolução
São Paulo,1696,Grupo Borda de Inovação Ltda,Paulo,PlayStation 2,13,499,6487, São Paulo (SP) ,2023-06-29,2023-07-17,Com Devolução
São Paulo,4127,InovarHub S.A,Henrique,Nintendo Wii,18,1699,30582, Rio Grande do Norte (RN) ,2023-01-11,,Sem Devolução
Parana,6605,Empreendimentos NovaGenius Ltda,Maria,XBOX 360,13,1299,16887, Goiás (GO) ,2020-03-15,,Sem Devolução
Rio de Janeiro,6771,Sistemas Sinérgicos Ltda,Henrique,Nintendo DS,7,389,2723, Mato Grosso (MT) ,2024-11-06,2024-11-27,Com Devolução
Rio de Janeiro,6611,Grupo Dinâmica Horizon Ltda,Paulo,XBOX 360,7,1299,9093, Paraíba (PB) ,2020-10-24,,Sem Devolução
Rio de Janeiro,4640,Soluções NovaTech S.A,Taize,Game Boy,36,79,2844, Rio Grande do Norte (RN) ,2023-03-02,,Sem Devolução
Parana,5546,Inovação Esfera Quântica Ltda,Maria,PlayStation 2,22,499,10978, Alagoas (AL) ,2023-02-05,,Sem Devolução
São Paulo,6762,Empreendimentos NexusTech Ltda,Vanessa,PlayStation 4,32,1399,44768, São Paulo (SP) ,2022-09-05,2022-09-21,Com Devolução
Parana,7183,InovarHub S.A,Taize,PlayStation 1,40,199,7960, Amazonas (AM) ,2022-02-05,,Sem Devolução
Rio de Janeiro,5808,Corporação NexusGen,Paulo,PlayStation 2,29,499,14471, Tocantins (TO) ,2024-01-27,,Sem Devolução
Rio de Janeiro,8639,Tecnologias Impulso Quântico Ltda,Paulo,Nintendo DS,34,389,13226, Acre (AC) ,2022-04-03,,Sem Devolução
São Paulo,8961,Empresa Visionária de Inovações S.A,Paulo,Game Boy,6,79,474, Minas Gerais (MG) ,2024-10-11,,Sem Devolução
Parana,2136,Indústrias ApexTech Ltda,Vanessa,PlayStation 1,9,199,1791, Tocantins (TO) ,2021-06-30,,Sem Devolução
Parana,8408,Empresas Esfera de Sinergia Ltda,Paulo,Nintendo DS,32,389,12448, Mato Grosso (MT) ,2024-03-20,,Sem Devolução
São Paulo,1368,VisionáriaTech S.A,Henrique,XBOX 360,32,1299,41568, Piauí (PI) ,2022-05-23,,Sem Devolução
Parana,3284,Empresa Visionária de Inovações S.A,Maria,Nintendo DS,17,389,6613, Santa Catarina (SC) ,2023-03-23,,Sem Devolução
São Paulo,5019,Corporação TechVantage,Paulo,PlayStation 1,10,199,1990, Paraíba (PB) ,2022-06-12,,Sem Devolução
Rio de Janeiro,4765,Corporação NexusGen,Paulo,XBOX ONE S,19,1499,28481, Amazonas (AM) ,2024-03-26,2024-04-21,Com Devolução
Parana,8097,Soluções NovaTech S.A,Paulo,PlayStation 1,35,199,6965, Paraíba (PB) ,2024-04-10,2024-04-11,Com Devolução
Parana,9364,Tecnologias Ondas Futuras Ltda,Vanessa,XBOX 360,21,1299,27279, Mato Grosso (MT) ,2021-04-13,,Sem Devolução
Parana,8158,InovarHub S.A,Maria,Game Boy,34,79,2686, Goiás (GO) ,2023-10-09,,Sem Devolução
São Paulo,5922,Tecnologias Ondas Futuras Ltda,Henrique,Nintendo DS,31,389,12059, Bahia (BA) ,2024-04-23,,Sem Devolução
Rio de Janeiro,1900,Indústrias ApexTech Ltda,Henrique,Nintendo Wii,15,1699,25485, Amazonas (AM) ,2023-08-14,2023-08-23,Com Devolução
São Paulo,9257,Grupo Dinâmica Horizon Ltda,Vanessa,Game Boy,19,79,1501, Alagoas (AL) ,2021-04-21,,Sem Devolução
Parana,9057,Sistemas Sinérgicos Ltda,Henrique,Nintendo Wii,38,1699,64562, Tocantins (TO) ,2024-09-04,2024-09-23,Com Devolução
Rio de Janeiro,8169,Empreendimentos NexusTech Ltda,Maria,Game Boy,36,79,2844, São Paulo (SP) ,2021-12-07,2021-12-29,Com Devolução
Parana,9091,VisionáriaTech S.A,Taize,PlayStation 1,36,199,7164, Roraima (RR) ,2023-07-05,2023-07-30,Com Devolução
São Paulo,8512,Sistemas Sinérgicos Ltda,Taize,XBOX 360,8,1299,10392, Acre (AC) ,2023-06-22,2023-06-24,Com Devolução
Parana,4066,InovarHub S.A,Vanessa,XBOX 360,27,1299,35073, São Paulo (SP) ,2023-05-10,,Sem Devolução
Rio de Janeiro,6654,Corporação TechNex,Henrique,PlayStation 2,39,499,19461, Roraima (RR) ,2021-09-24,2021-10-20,Com Devolução
Rio de Janeiro,3571,Sistemas Sinérgicos Ltda,Henrique,XBOX 360,12,1299,15588, Roraima (RR) ,2023-02-18,,Sem Devolução
Rio de Janeiro,8066,Inovação Esfera Quântica Ltda,Henrique,PlayStation 2,20,499,9980, Espírito Santo (ES) ,2022-04-12,,Sem Devolução
Rio de Janeiro,4010,Soluções Núcleo Quântico Ltda,Vanessa,Game Boy,2,79,158, Acre (AC) ,2022-07-15,,Sem Devolução
São Paulo,5495,Tecnologias Ondas Futuras Ltda,Taize,Game Boy,6,79,474, Espírito Santo (ES) ,2023-08-26,,Sem Devolução
Parana,3384,Empresas Esfera de Sinergia Ltda,Paulo,Game Boy,14,79,1106, Ceará (CE) ,2021-04-14,,Sem Devolução
Parana,9056,InovarHub S.A,João,Nintendo DS,25,389,9725, Sergipe (SE) ,2021-06-30,,Sem Devolução
São Paulo,7944,Indústrias ApexTech Ltda,Henrique,XBOX 360,27,1299,35073, Espírito Santo (ES) ,2021-03-01,2021-03-23,Com Devolução
São Paulo,6206,Tecnologias Ondas Futuras Ltda,Taize,PlayStation 4,39,1399,54561, Pernambuco (PE) ,2021-02-08,,Sem Devolução
São Paulo,6819,Empreendimentos NovaGenius Ltda,João,PlayStation 1,38,199,7562, Acre (AC) ,2024-09-05,2024-09-28,Com Devolução
São Paulo,4815,Laboratórios InovateX Ltda,Vanessa,PlayStation 1,17,199,3383, Piauí (PI) ,2024-12-17,,Sem Devolução
Parana,1712,InovarHub S.A,Maria,Nintendo DS,36,389,14004, Sergipe (SE) ,2024-07-21,2024-07-29,Com Devolução
Rio de Janeiro,9564,Soluções Núcleo Quântico Ltda,Taize,Nintendo DS,33,389,12837, Acre (AC) ,2023-02-27,,Sem Devolução
São Paulo,7817,Grupo Borda de Inovação Ltda,Maria,XBOX ONE S,38,1499,56962, Pará (PA) ,2021-05-16,,Sem Devolução
Rio de Janeiro,1912,Empreendimentos NovaGenius Ltda,Paulo,Game Boy,18,79,1422, Mato Grosso do Sul (MS) ,2020-02-06,2020-02-16,Com Devolução
Rio de Janeiro,1256,Sistemas Sinérgicos Ltda,João,PlayStation 4,14,1399,19586, Pará (PA) ,2023-02-09,,Sem Devolução
Rio de Janeiro,4194,Empresas Esfera de Sinergia Ltda,Vanessa,XBOX 360,1,1299,1299, Rondônia (RO) ,2024-02-22,,Sem Devolução
São Paulo,9986,Corporação TechVantage,Henrique,PlayStation 1,35,199,6965, Maranhão (MA) ,2023-01-30,2023-02-12,Com Devolução
Parana,5642,Empreendimentos NovaGenius Ltda,Henrique,PlayStation 2,21,499,10479, São Paulo (SP) ,2020-09-29,,Sem Devolução
Parana,6308,Tecnologias Impulso Quântico Ltda,Maria,Game Boy,23,79,1817, Bahia (BA) ,2023-12-01,,Sem Devolução
Rio de Janeiro,4362,Empreendimentos NexusTech Ltda,Paulo,PlayStation 2,4,499,1996, Roraima (RR) ,2023-08-14,,Sem Devolução
Parana,3628,Sistemas Sinérgicos Ltda,Maria,XBOX 360,3,1299,3897, Maranhão (MA) ,2022-03-10,,Sem Devolução
São Paulo,5299,Sistemas Sinérgicos Ltda,Maria,PlayStation 1,2,199,398, Rio Grande do Norte (RN) ,2020-10-30,,Sem Devolução
São Paulo,2987,Inovação Esfera Quântica Ltda,João,XBOX ONE S,40,1499,59960, Rio Grande do Sul (RS) ,2020-06-29,,Sem Devolução
Rio de Janeiro,3497,Empresa Visionária de Inovações S.A,Vanessa,Game Boy,38,79,3002, Mato Grosso do Sul (MS) ,2024-07-20,,Sem Devolução
São Paulo,1119,Sistemas Sinérgicos Ltda,Paulo,Nintendo DS,10,389,3890, Mato Grosso do Sul (MS) ,2020-12-14,2020-12-31,Com Devolução
Parana,5724,Empresas Esfera de Sinergia Ltda,João,XBOX ONE S,33,1499,49467, Piauí (PI) ,2022-07-19,,Sem Devolução
São Paulo,9713,Inovação QuantumLeap Ltda,João,PlayStation 1,38,199,7562, Sergipe (SE) ,2023-05-04,,Sem Devolução
São Paulo,8701,Empresas Esfera de Sinergia Ltda,João,Nintendo DS,12,389,4668, Maranhão (MA) ,2020-10-09,2020-10-09,Com Devolução
Parana,3729,Inovação Esfera Quântica Ltda,Henrique,Nintendo Wii,34,1699,57766, Rio Grande do Sul (RS) ,2022-09-06,,Sem Devolução
Parana,5967,Corporação TechVantage,Vanessa,XBOX ONE S,37,1499,55463, Ceará (CE) ,2023-04-28,,Sem Devolução
Parana,5327,Tecnologias Ondas Futuras Ltda,Maria,PlayStation 4,35,1399,48965, Mato Grosso (MT) ,2023-01-07,,Sem Devolução
São Paulo,7829,InovarHub S.A,João,Nintendo DS,3,389,1167, Paraná (PR) ,2022-05-18,,Sem Devolução
Rio de Janeiro,8271,Tecnologias Impulso Quântico Ltda,Henrique,PlayStation 1,27,199,5373, Mato Grosso do Sul (MS) ,2020-11-11,,Sem Devolução
Parana,1551,InovarHub S.A,Henrique,XBOX 360,12,1299,15588, Amapá (AP) ,2024-06-24,,Sem Devolução
São Paulo,4761,Soluções NovaTech S.A,Maria,PlayStation 2,38,499,18962, Goiás (GO) ,2021-05-08,2021-05-27,Com Devolução
Parana,1734,Corporação NexusGen,Taize,PlayStation 2,12,499,5988, Amapá (AP) ,2021-10-11,2021-10-27,Com Devolução
São Paulo,2629,Inovação Esfera Quântica Ltda,João,PlayStation 4,1,1399,1399, Paraná (PR) ,2021-12-15,2022-01-08,Com Devolução
Rio de Janeiro,7880,Tecnologias Ondas Futuras Ltda,Vanessa,PlayStation 2,1,499,499, Pernambuco (PE) ,2022-09-16,,Sem Devolução
São Paulo,9793,Corporação TechNex,Vanessa,XBOX 360,18,1299,23382, Pernambuco (PE) ,2023-03-27,,Sem Devolução
São Paulo,8292,VisionáriaTech S.A,Maria,PlayStation 1,36,199,7164, Rondônia (RO) ,2021-04-23,2021-05-21,Com Devolução
São Paulo,9882,Empresas Esfera de Sinergia Ltda,Taize,PlayStation 4,16,1399,22384, Bahia (BA) ,2024-11-16,,Sem Devolução
Rio de Janeiro,6123,VisionáriaTech S.A,Vanessa,Nintendo DS,18,389,7002, Roraima (RR) ,2021-04-11,,Sem Devolução
São Paulo,7585,Empresa Visionária de Inovações S.A,Vanessa,PlayStation 1,5,199,995, Acre (AC) ,2023-05-19,,Sem Devolução
Rio de Janeiro,5224,Indústrias ApexTech Ltda,Henrique,PlayStation 1,23,199,4577, Rio Grande do Sul (RS) ,2022-12-03,,Sem Devolução
Parana,6400,Inovação QuantumLeap Ltda,Paulo,XBOX 360,2,1299,2598, Ceará (CE) ,2024-09-16,,Sem Devolução
Parana,3271,Corporação TechVantage,Maria,PlayStation 4,40,1399,55960, Santa Catarina (SC) ,2024-09-18,,Sem Devolução
Parana,4150,Corporação TechVantage,Henrique,PlayStation 1,36,199,7164, Distrito Federal (DF) ,2023-05-20,,Sem Devolução
Parana,8962,Inovação QuantumLeap Ltda,Vanessa,XBOX 360,2,1299,2598, Santa Catarina (SC) ,2022-07-06,,Sem Devolução
São Paulo,9768,Empresa Visionária de Inovações S.A,Maria,PlayStation 2,37,499,18463, Goiás (GO) ,2020-07-11,,Sem Devolução
Rio de Janeiro,6577,Empreendimentos NovaGenius Ltda,João,Game Boy,38,79,3002, Acre (AC) ,2020-09-18,,Sem Devolução
Rio de Janeiro,3703,Inovação QuantumLeap Ltda,Henrique,Game Boy,18,79,1422, Mato Grosso do Sul (MS) ,2020-03-26,2020-03-26,Com Devolução
Rio de Janeiro,9406,Inovação QuantumLeap Ltda,Maria,XBOX 360,22,1299,28578, Amapá (AP) ,2022-11-04,,Sem Devolução
Rio de Janeiro,2784,Empresas Esfera de Sinergia Ltda,João,Nintendo DS,31,389,12059, Rondônia (RO) ,2022-04-22,,Sem Devolução
São Paulo,6252,VisionáriaTech S.A,Paulo,PlayStation 4,35,1399,48965, Piauí (PI) ,2023-11-05,,Sem Devolução
Rio de Janeiro,3166,Grupo Borda de Inovação Ltda,Paulo,PlayStation 2,37,499,18463, Rio Grande do Norte (RN) ,2023-09-12,,Sem Devolução
Rio de Janeiro,2315,Sistemas Sinérgicos Ltda,João,Nintendo DS,26,389,10114, Bahia (BA) ,2020-12-07,,Sem Devolução
Rio de Janeiro,1263,Inovação Esfera Quântica Ltda,Paulo,PlayStation 4,7,1399,9793, Piauí (PI) ,2021-06-13,,Sem Devolução
Rio de Janeiro,3468,Tecnologias Impulso Quântico Ltda,Henrique,XBOX 360,4,1299,5196, Bahia (BA) ,2022-04-02,2022-04-11,Com Devolução
Rio de Janeiro,3615,Indústrias ApexTech Ltda,Maria,Nintendo Wii,18,1699,30582, Maranhão (MA) ,2024-11-08,,Sem Devolução
Parana,9107,InovarHub S.A,Paulo,Game Boy,26,79,2054, Rio de Janeiro (RJ) ,2023-02-28,,Sem Devolução
Rio de Janeiro,3284,Tecnologias Ondas Futuras Ltda,Maria,XBOX ONE S,9,1499,13491, Amazonas (AM) ,2021-11-16,,Sem Devolução
Parana,7046,InovarHub S.A,Paulo,PlayStation 4,29,1399,40571, Santa Catarina (SC) ,2024-11-02,,Sem Devolução
Rio de Janeiro,8527,Inovação QuantumLeap Ltda,Paulo,Nintendo DS,9,389,3501, Amazonas (AM) ,2022-08-06,2022-08-22,Com Devolução
Rio de Janeiro,1791,Inovação Esfera Quântica Ltda,Taize,PlayStation 2,23,499,11477, Amazonas (AM) ,2022-07-09,2022-08-01,Com Devolução
Parana,4335,Corporação TechNex,João,Nintendo Wii,36,1699,61164, Santa Catarina (SC) ,2020-04-24,,Sem Devolução
Parana,2632,Tecnologias Impulso Quântico Ltda,Henrique,PlayStation 1,5,199,995, Amapá (AP) ,2023-08-14,,Sem Devolução
Parana,1025,Soluções Núcleo Quântico Ltda,Taize,Nintendo Wii,1,1699,1699, Minas Gerais (MG) ,2022-09-09,,Sem Devolução
São Paulo,7776,Inovação Esfera Quântica Ltda,Paulo,XBOX ONE S,16,1499,23984, Rio de Janeiro (RJ) ,2022-05-28,,Sem Devolução
Parana,1452,Corporação TechNex,Henrique,PlayStation 4,25,1399,34975, Tocantins (TO) ,2022-10-31,2022-11-28,Com Devolução
Parana,7837,Empresa Visionária de Inovações S.A,Paulo,PlayStation 1,34,199,6766, Roraima (RR) ,2024-11-22,2024-12-17,Com Devolução
Rio de Janeiro,1789,VisionáriaTech S.A,Maria,PlayStation 1,39,199,7761, Rio Grande do Norte (RN) ,2020-11-11,,Sem Devolução
Rio de Janeiro,9697,Corporação TechVantage,Henrique,XBOX 360,13,1299,16887, Rio Grande do Sul (RS) ,2020-05-26,,Sem Devolução
Parana,6567,Soluções NovaTech S.A,Taize,PlayStation 1,8,199,1592, Sergipe (SE) ,2020-12-15,,Sem Devolução
São Paulo,6063,Empreendimentos NexusTech Ltda,Taize,XBOX 360,21,1299,27279, Tocantins (TO) ,2022-03-25,2022-04-03,Com Devolução
Parana,6093,Laboratórios InovateX Ltda,Henrique,Game Boy,5,79,395, Santa Catarina (SC) ,2024-03-07,2024-03-11,Com Devolução
Rio de Janeiro,3971,VisionáriaTech S.A,Paulo,XBOX ONE S,17,1499,25483, Santa Catarina (SC) ,2024-11-11,,Sem Devolução
São Paulo,2295,Corporação TechNex,Maria,PlayStation 1,6,199,1194, Roraima (RR) ,2024-03-16,2024-04-05,Com Devolução
Rio de Janeiro,6892,Tecnologias Ondas Futuras Ltda,Taize,PlayStation 4,6,1399,8394, Bahia (BA) ,2023-09-24,2023-10-05,Com Devolução
Parana,1270,Empresa Visionária de Inovações S.A,Taize,XBOX 360,40,1299,51960, Rondônia (RO) ,2020-09-04,2020-09-20,Com Devolução
São Paulo,7094,Tecnologias Ondas Futuras Ltda,Vanessa,PlayStation 1,33,199,6567, Acre (AC) ,2021-05-25,2021-06-11,Com Devolução
Parana,4203,Sistemas Sinérgicos Ltda,Henrique,Nintendo DS,28,389,10892, Amazonas (AM) ,2020-09-09,,Sem Devolução
Rio de Janeiro,1867,Empreendimentos NexusTech Ltda,Vanessa,Nintendo Wii,17,1699,28883, Espírito Santo (ES) ,2023-04-04,2023-05-03,Com Devolução
Parana,6359,Empresas Esfera de Sinergia Ltda,Taize,Nintendo Wii,16,1699,27184, Tocantins (TO) ,2022-11-17,,Sem Devolução
Parana,1678,Corporação TechVantage,João,XBOX ONE S,28,1499,41972, Roraima (RR) ,2020-07-31,,Sem Devolução
São Paulo,5509,Corporação NexusGen,Maria,PlayStation 2,13,499,6487, Minas Gerais (MG) ,2023-03-15,2023-04-13,Com Devolução
Parana,3059,Indústrias ApexTech Ltda,Vanessa,PlayStation 4,24,1399,33576, Minas Gerais (MG) ,2023-10-25,,Sem Devolução
Parana,8313,InovarHub S.A,Paulo,XBOX 360,7,1299,9093, Minas Gerais (MG) ,2023-08-10,2023-08-24,Com Devolução
Rio de Janeiro,4384,Empreendimentos NovaGenius Ltda,Maria,PlayStation 4,22,1399,30778, Rio Grande do Sul (RS) ,2021-01-31,,Sem Devolução
São Paulo,2011,Tecnologias Impulso Quântico Ltda,Paulo,Nintendo DS,19,389,7391, Tocantins (TO) ,2020-05-20,,Sem Devolução
Parana,4171,Inovação QuantumLeap Ltda,Maria,Nintendo Wii,14,1699,23786, Espírito Santo (ES) ,2022-02-21,,Sem Devolução
Rio de Janeiro,1017,Empresa Visionária de Inovações S.A,Henrique,PlayStation 1,22,199,4378, Rio Grande do Norte (RN) ,2021-09-14,,Sem Devolução
Rio de Janeiro,6808,Laboratórios InovateX Ltda,Taize,Game Boy,21,79,1659, Sergipe (SE) ,2020-02-04,2020-02-23,Com Devolução
São Paulo,5814,Empresa Visionária de Inovações S.A,Vanessa,PlayStation 2,5,499,2495, Mato Grosso do Sul (MS) ,2021-10-30,,Sem Devolução
Parana,8780,Grupo Borda de Inovação Ltda,Paulo,XBOX 360,22,1299,28578, Rio Grande do Norte (RN) ,2021-10-15,2021-11-01,Com Devolução
Rio de Janeiro,8170,Soluções Núcleo Quântico Ltda,Taize,PlayStation 1,19,199,3781, Pernambuco (PE) ,2020-09-13,,Sem Devolução
São Paulo,3411,Inovação QuantumLeap Ltda,Vanessa,PlayStation 1,37,199,7363, Piauí (PI) ,2020-09-28,,Sem Devolução
Parana,4358,Soluções Núcleo Quântico Ltda,Maria,PlayStation 1,1,199,199, Pernambuco (PE) ,2024-10-02,,Sem Devolução
Parana,2337,Empresa Visionária de Inovações S.A,Vanessa,PlayStation 4,1,1399,1399, Rondônia (RO) ,2022-05-12,,Sem Devolução
Rio de Janeiro,2596,Empreendimentos NovaGenius Ltda,Vanessa,PlayStation 2,18,499,8982, Bahia (BA) ,2021-06-02,,Sem Devolução
Rio de Janeiro,3645,Empreendimentos NovaGenius Ltda,Maria,XBOX 360,6,1299,7794, Acre (AC) ,2021-08-23,,Sem Devolução
Rio de Janeiro,8184,Empresa Visionária de Inovações S.A,João,PlayStation 1,27,199,5373, Ceará (CE) ,2022-05-20,,Sem Devolução
Rio de Janeiro,6385,Indústrias ApexTech Ltda,Maria,PlayStation 1,8,199,1592, Pernambuco (PE) ,2023-06-01,2023-06-25,Com Devolução
Parana,5403,Inovação Esfera Quântica Ltda,Maria,Nintendo Wii,18,1699,30582, Amapá (AP) ,2021-12-04,2021-12-25,Com Devolução
Parana,9929,Grupo Dinâmica Horizon Ltda,Paulo,PlayStation 1,14,199,2786, Distrito Federal (DF) ,2021-01-31,2021-02-05,Com Devolução
São Paulo,9324,Corporação TechNex,Taize,Nintendo Wii,16,1699,27184, Espírito Santo (ES) ,2024-12-12,2024-12-21,Com Devolução
Rio de Janeiro,4695,Grupo Dinâmica Horizon Ltda,Taize,Nintendo DS,25,389,9725, Mato Grosso (MT) ,2023-01-14,2023-02-03,Com Devolução
São Paulo,6059,Soluções Núcleo Quântico Ltda,Henrique,Game Boy,19,79,1501, Maranhão (MA) ,2024-07-14,,Sem Devolução
Rio de Janeiro,2788,Corporação TechNex,Paulo,PlayStation 1,36,199,7164, Espírito Santo (ES) ,2021-04-10,,Sem Devolução
Rio de Janeiro,5785,Tecnologias Ondas Futuras Ltda,Maria,Game Boy,1,79,79, Espírito Santo (ES) ,2023-07-28,,Sem Devolução
Parana,1587,Sistemas Sinérgicos Ltda,Paulo,Game Boy,20,79,1580, Minas Gerais (MG) ,2023-11-20,,Sem Devolução
Rio de Janeiro,7006,VisionáriaTech S.A,Maria,Nintendo Wii,35,1699,59465, Acre (AC) ,2020-12-17,2020-12-29,Com Devolução
Parana,5355,Grupo Dinâmica Horizon Ltda,Paulo,Game Boy,39,79,3081, Espírito Santo (ES) ,2020-05-06,,Sem Devolução
Parana,1232,Grupo Dinâmica Horizon Ltda,Taize,XBOX 360,9,1299,11691, Distrito Federal (DF) ,2022-06-29,2022-07-20,Com Devolução
